speaker_id,text,timestamp,event_type
noaa_event_1191609,A line of thunderstorms moving offshore produced damaging wind gusts while approaching the coast of Hancock county bringing down trees and power lines. The line produced gusts approaching 50 mph ( 43 knots ) while moving offshore along the coast. A wind gust of 46 mph ( 40 knots ) was reported at a buoy near Bar Harbor. A 46 mph ( 40 knot ) gust was also reported at Cadillac Mountain on Mount Desert Island in Acadia National Park...with a 48 mph ( 42 knot ) gust reported at Winter Harbor.,2024,Marine Thunderstorm Wind
noaa_event_1197879,"Rainfall reached just shy of 4 inches during the late afternoon and early evening and resulted in numerous streets under water in George and flooding of areas small creeks. For a more comprehensive description of flood damage, please see other entries for areal and river flooding for Lyon County.",2024,Flash Flood
noaa_event_1224600,"At the Zirkel Snotel, 1.1 inches of precipitation led to an estimate 13 inches of snowfall.  The Columbine Snotel received an estimated 11 inches of snowfall.",2024,Winter Storm
noaa_event_1220340,Visibility of one eighth of a mile was reported in Hanford. Webcams indicated visibility below 1000 feet in Hanford. Several school districts either opened late or delayed or cancelled bus service due to low visibility.,2024,Dense Fog
noaa_event_1160012,"A period of freezing rain resulted in ice accumulations. A trained spotter reported one tenth of an inch of ice in Cisco. There were numerous car accidents or slide-offs. Transportation services were also impacted across the region, with many bus, train, or airplane operators suspending operations. Conditions improved during the overnight hours as temperatures warmed and ice melted.",2024,Winter Weather
noaa_event_1180173,Golf ball to tennis ball sized hail caused damage to the skylight on a camper and downed numerous leaves and branches. Crop damage is an estimate from insured losses. Information provided by the United States Department of Agriculture.,2024,Hail
noaa_event_1181702,"The tornado tracked east into southern Iron County and then south of Annapolis, where it continued to produce minor tree damage and caused minor damage to the roof panels of a farm outbuilding on County Road 165 and Highway F. From there, the tornado continued into Madison County. The tornado was rated EF0 with a path length of 11.25 miles and a max path width of 167 yards. No deaths or injuries were reported.",2024,Tornado
noaa_event_1162511,"At 1:39 PM, a CWOP weather station measured a 60 MPH wind gust in Arcadia. Findlay Airport also reported a 55 MPH wind gust at 12:17 PM. These strong winds caused some tree damage and power-outages.",2024,High Wind
noaa_event_1169067,"Several large windows were blown out at Hay Tire Pros on Wesley Drive. The strong wind gust also caused damage to the tile ceiling which partially collapsed in the interior of the building. Sheet metal from the roof of the building and two adjacent commercial buildings was ripped off and blown several hundred feet. Also, the top of a nearby power pole was snapped off.",2024,Thunderstorm Wind
noaa_event_1151690,An ice jam upstream from the Starved Rock Lock and Dam extending upstream to near Naplate caused minor flooding near Ottawa.,2024,Flood
noaa_event_1173213,"Thunderstorm winds caused a power pole to fall across a roadway and a tree to fall on a house south of Red Bud. There was minor damage to the house. Several trees and power lines were knocked down in Sparta, and there was a tree down over a roadway near Eden. Cities in the path of the storm include Baldwin and Houston.",2024,Thunderstorm Wind
noaa_event_1223122,The entire county was designated in Severe Drought (D2) at the beginning of the month. Above normal precipitation from October 29th through November 7th brought an end to the Severe Drought (D2) across the county. The observer at nearby Stockbridge Munsee reported 4.12 inches of precipitation during this period. |Additional precipitation during the latter half of the month resulted in Menominee County being designated in Moderate Drought (D1) or Abnormally Dry (D0) conditions at the end of the month.,2024,Drought
noaa_event_1155716,"Heavy wet snow accumulated on the night of March 9th that led to isolated power outages but the main storm was the wraparound, northwest upslope, powdery snowfall during the night of March 10th through midday March 11th. Storm total snowfall was 8-12+ inches. Some specific snowfall totals include the higher terrain: 12 inches in Starksboro and 10 inches in Hancock.",2024,Winter Storm
noaa_event_1181424,A thunderstorm produced wind gusts estimated at 70 mph that knocked down a Chinese Elm tree onto the roof of a building northwest of San Marcos.,2024,Thunderstorm Wind
